date_key,country_code,flow_code,clearence_code,mot_code,value,product_code
20250101,CAN,DX,C00,3100,451049192.139,44
20250101,CAN,FM,C00,3100,21831391.715,44
20250101,CAN,RM,C00,3100,5007.044,44
20250101,CAN,RX,C00,3100,20141.42,44
20250101,CAN,DX,C00,3200,547557985.351,44
20250101,CAN,FM,C00,3200,178692204.457,44
20250101,CAN,RM,C00,3200,1262853.32,44
20250101,CAN,RX,C00,3200,7488536.16,44
20250101,GEO,FM,C00,1000,62729.35,02
20250101,GEO,FM,C00,3100,69919.88,02
20250101,GEO,RX,C00,3100,651210.09,02
20250101,EST,RM,C00,3200,8637.08,02
20250101,GEO,DX,C00,3200,394187.82,02
20250101,GEO,FM,C00,3200,5518027.33,02
20250101,GEO,RX,C00,3200,494629.24,02
20250101,EST,RM,C01,3200,8637.08,02
20250101,GEO,DX,C00,1000,28846.78,04
20250101,GEO,FM,C00,1000,3583.15,04
20250101,EST,RM,C00,3200,329862.45,04
20250101,GEO,DX,C00,3200,399330.0,04
20250101,GEO,FM,C00,3200,11496432.38,04
20250101,GEO,RX,C00,3200,144294.58,04
20250101,EST,RM,C01,3200,329862.45,04
20250101,GEO,FM,C00,1000,61268.67,07
20250101,GEO,FM,C00,3100,102008.77,07
20250101,EST,RM,C00,3200,102223.42,07
20250101,GEO,DX,C00,3200,5538328.79,07
20250101,GEO,FM,C00,3200,5962299.36,07
20250101,GEO,RX,C00,3200,499548.0,07
20250101,EST,RM,C01,3200,102223.42,07
20250101,GEO,DX,C00,1000,12900.0,08
20250101,GEO,FM,C00,1000,3808.54,08
20250101,EST,RX,C00,3100,154548.92,08
20250101,EST,RM,C00,3200,4548.39,08
20250101,GEO,DX,C00,3200,7792666.82,08
20250101,GEO,FM,C00,3200,9468640.33,08
20250101,GEO,RM,C00,3200,67005.0,08
20250101,GEO,RX,C00,3200,1890319.08,08
20250101,EST,RM,C01,3200,4548.39,08
20250101,EST,RX,C03,3100,154548.92,08
20250101,GEO,DX,C00,1000,10287.64,09
20250101,GEO,FM,C00,1000,23597.29,09
20250101,EST,RM,C00,3200,12800.12,09
20250101,EST,RX,C00,3200,454365.53,09
20250101,GEO,DX,C00,3200,1015579.72,09
20250101,GEO,FM,C00,3200,2081664.51,09
20250101,GEO,RX,C00,3200,206623.92,09
20250101,EST,RM,C01,3200,12800.12,09
20250101,EST,RX,C03,3200,454365.53,09
20250101,GEO,DX,C00,1000,333248.69,12
20250101,GEO,FM,C00,1000,278678.92,12
20250101,EST,RX,C00,3100,287865.1,12
20250101,EST,RM,C00,3200,4459.36,12
20250101,EST,RX,C00,3200,36984.55,12
20250101,GEO,DX,C00,3200,261687.34,12
20250101,GEO,FM,C00,3200,358122.53,12
20250101,EST,RM,C01,3200,4459.36,12
20250101,EST,RX,C03,3100,287865.1,12
20250101,EST,RX,C03,3200,36984.55,12
20250101,EST,RX,C00,1000,1961151.4,22
20250101,GEO,DX,C00,1000,16154.01,22
20250101,GEO,FM,C00,1000,54099.02,22
20250101,FRO,RM,C00,2000,9133.204,22
20250101,GEO,DX,C00,3100,9396646.5,22
20250101,EST,RM,C00,3200,14683.55,22
20250101,EST,RX,C00,3200,8696.0,22
20250101,GEO,DX,C00,3200,31370674.85,22
20250101,GEO,FM,C00,3200,5491708.83,22
20250101,GEO,RX,C00,3200,2985531.18,22
20250101,EST,RM,C01,3200,14683.55,22
20250101,EST,RX,C03,1000,1961151.4,22
20250101,EST,RX,C03,3200,8696.0,22
20250101,EST,RX,C00,1000,16284.46,24
20250101,GEO,FM,C00,1000,66778.72,24
20250101,GEO,RX,C00,1000,446448.85,24
20250101,GEO,FM,C00,3200,7880729.31,24
20250101,GEO,RX,C00,3200,9218803.39,24
20250101,EST,RX,C03,1000,16284.46,24
20250101,EST,RX,C00,1000,535163.46,30
20250101,GEO,DX,C00,1000,344873.44,30
20250101,GEO,FM,C00,1000,17901779.58,30
20250101,GEO,RX,C00,1000,384596.12,30
20250101,GEO,FM,C00,3100,265.5,30
20250101,EST,RM,C00,3200,1290756.44,30
20250101,EST,RX,C00,3200,211423.11,30
20250101,GEO,DX,C00,3200,1159735.37,30
20250101,GEO,FM,C00,3200,38298246.28,30
20250101,GEO,RX,C00,3200,8561234.27,30
20250101,EST,RM,C01,3200,1290756.44,30
20250101,EST,RX,C03,1000,535163.46,30
20250101,EST,RX,C03,3200,211423.11,30
20250101,EST,RX,C00,1000,8373.63,44
20250101,GEO,DX,C00,1000,432.0,44
20250101,GEO,FM,C00,1000,2872.06,44
20250101,GEO,DX,C00,3100,34000.0,44
20250101,GEO,FM,C00,3100,1309399.83,44
20250101,EST,RM,C00,3200,61495.3,44
20250101,EST,RX,C00,3200,278945.27,44
20250101,GEO,DX,C00,3200,1486389.81,44
20250101,GEO,FM,C00,3200,12995966.4,44
20250101,GEO,RX,C00,3200,159903.61,44
20250101,EST,RM,C01,3200,61477.01,44
20250101,EST,RX,C03,1000,8373.63,44
20250101,EST,RX,C03,3200,278945.27,44
20250101,GRD,DX,C00,1000,421.674,07
20250101,GRD,DX,C00,1000,19470.804,08
20250101,GRD,DX,C00,1000,6552.178,09
20250101,GRD,DX,C00,1000,502.93,22
20250101,GRD,RX,C00,1000,13871.674,24
20250101,GRD,DX,C00,1000,1758.104,30
20250101,GUY,RX,C00,1000,1847.001,30
20250101,LUX,DX,C00,1000,638895.632,02
